iter	RMSE
0	0.3942518158
1	0.3894170142
2	0.3845430983
3	0.3799615216
4	0.3752692225
5	0.3710026013
6	0.3665015463
7	0.3620837007
8	0.3582543581
9	0.3538972517
10	0.3496207226
11	0.3458015883
12	0.3419179499
13	0.3381140924
14	0.3342103643
15	0.3305599198
16	0.327216646
17	0.3234984841
18	0.320065259
19	0.3167704203
20	0.3135813101
21	0.3103694358
22	0.3070252392
23	0.3035872079
24	0.3005045578
25	0.2976307644
26	0.2944471741
27	0.2913475908
28	0.2885592112
29	0.2855150209
30	0.2824984344
31	0.2798831964
32	0.2770411155
33	0.2743897196
34	0.2716666849
35	0.2689997957
36	0.2663647086
37	0.2638361756
38	0.2614741901
39	0.2590350535
40	0.2566746055
41	0.2544458234
42	0.2521321875
43	0.2498485375
44	0.2476322769
45	0.2455047184
46	0.2432552841
47	0.2412168575
48	0.239038487
49	0.2370338843
50	0.2351194964
51	0.2331466777
52	0.2313028152
53	0.2295434631
54	0.2275865152
55	0.2256936564
56	0.2238187185
57	0.2221826796
58	0.2203782092
59	0.2186305715
60	0.2169818312
61	0.2154701614
62	0.2138527105
63	0.2122458602
64	0.2106539682
65	0.2091236204
66	0.2076193425
67	0.2061375265
68	0.2048080063
69	0.2034398287
70	0.2020226971
71	0.2007006373
72	0.1994656293
73	0.198117547
74	0.1967557683
75	0.195447755
76	0.1943099428
77	0.1930373604
78	0.1917704826
79	0.1905444899
80	0.1894365702
81	0.1882161154
82	0.1871585967
83	0.1860739172
84	0.1850006602
85	0.1839431696
86	0.1828812036
87	0.181765748
88	0.1807827833
89	0.1796717873
90	0.1786898014
91	0.1776695722
92	0.1766847349
93	0.1757402704
94	0.174828362
95	0.1739882283
96	0.1730914403
97	0.1720922145
98	0.1712699391
99	0.1703507677
100	0.169488015
101	0.1686382815
102	0.167820435
103	0.1670211213
104	0.1662933977
105	0.1655920967
106	0.1649040592
107	0.1641711125
108	0.1634616529
109	0.1627622656
110	0.1620702139
111	0.1614198785
112	0.1606763445
113	0.1600752381
114	0.1594975652
115	0.158843829
116	0.1581940356
117	0.1575437603
118	0.1569523176
119	0.1562920188
120	0.1556600459
121	0.1551898505
122	0.1545354221
123	0.1540016475
124	0.1534350589
125	0.1529249224
126	0.1523997258
127	0.1518890517
128	0.1513476231
129	0.1507913977
130	0.1502709754
131	0.149777355
132	0.1493102544
133	0.1487963447
134	0.1483710544
135	0.1479457545
136	0.1475234103
137	0.1471872669
138	0.1466893877
139	0.1463201317
140	0.1459415459
141	0.1455196154
142	0.1450389701
143	0.1446324064
144	0.144198051
145	0.1438508729
146	0.1434957058
147	0.1431468734
148	0.1427511703
149	0.1423306241
