iter	Passed	Remaining
0	51	103718
1	55	55599
2	59	39542
3	62	31412
4	66	26620
5	70	23347
6	74	21070
7	77	19286
8	81	17986
9	84	16891
10	88	16009
11	92	15264
12	95	14631
13	99	14083
14	103	13630
15	106	13204
16	109	12819
17	113	12484
18	117	12202
19	120	11931
20	123	11678
21	127	11453
22	130	11243
23	134	11061
24	137	10896
25	141	10734
26	144	10592
27	148	10454
28	151	10324
29	155	10204
30	158	10085
31	162	9983
32	166	9897
33	169	9812
34	173	9719
35	176	9629
36	180	9555
37	183	9477
38	187	9405
39	190	9342
40	194	9279
41	197	9225
42	201	9172
43	205	9120
44	208	9069
45	212	9018
46	215	8968
47	219	8924
48	223	8881
49	226	8834
50	230	8793
51	233	8749
52	237	8711
53	240	8679
54	244	8650
55	248	8616
56	251	8581
57	255	8547
58	258	8514
59	262	8481
60	265	8450
61	269	8421
62	273	8394
63	276	8366
64	280	8340
65	283	8314
66	287	8297
67	291	8270
68	294	8242
69	298	8216
70	301	8191
71	304	8164
72	308	8140
73	311	8113
74	315	8090
75	318	8068
76	322	8045
77	325	8020
78	329	8000
79	332	7981
80	335	7959
81	339	7940
82	342	7919
83	346	7898
84	349	7876
85	352	7855
86	356	7837
87	359	7821
88	363	7801
89	366	7784
90	370	7766
91	373	7748
92	377	7730
93	380	7714
94	383	7699
95	387	7682
96	390	7665
97	394	7650
98	397	7635
99	401	7620
100	404	7611
101	408	7596
102	411	7583
103	415	7569
104	418	7554
105	422	7541
106	425	7525
107	428	7512
108	432	7497
109	435	7484
110	439	7472
111	442	7463
112	446	7450
113	449	7438
114	453	7427
115	456	7416
116	460	7413
117	464	7403
118	468	7400
119	471	7388
120	475	7377
121	478	7368
122	482	7362
123	486	7353
124	489	7344
125	493	7333
126	496	7321
127	500	7313
128	503	7305
129	507	7294
130	510	7285
131	514	7279
132	518	7273
133	521	7265
134	525	7256
135	528	7246
136	532	7237
137	535	7227
138	538	7215
139	542	7205
140	545	7194
141	549	7184
142	552	7174
143	555	7165
144	559	7153
145	562	7143
146	565	7133
147	569	7123
148	572	7115
149	576	7107
150	579	7100
151	583	7093
152	586	7085
153	590	7077
154	593	7068
155	597	7061
156	600	7054
157	604	7044
158	607	7036
159	611	7027
160	614	7018
161	617	7010
162	621	7003
163	624	6994
164	628	6994
165	632	6986
166	636	6981
167	639	6974
168	643	6968
169	646	6961
170	650	6954
171	653	6947
172	657	6944
173	661	6936
174	664	6929
175	667	6922
176	671	6916
177	674	6909
178	678	6902
179	681	6894
180	685	6890
181	689	6883
182	692	6877
183	696	6870
184	699	6864
185	703	6859
186	706	6853
187	710	6846
188	713	6839
189	717	6831
190	720	6826
191	724	6821
192	727	6815
193	731	6809
194	735	6807
195	738	6800
196	742	6793
197	745	6788
198	749	6784
199	753	6777
200	756	6770
201	760	6767
202	763	6761
203	767	6754
204	770	6746
205	773	6740
206	777	6733
207	780	6726
208	784	6719
209	787	6713
210	791	6708
211	794	6703
212	798	6696
213	801	6689
214	804	6683
215	808	6677
216	812	6674
217	815	6667
218	819	6661
219	822	6655
220	825	6648
221	829	6642
222	832	6635
223	836	6628
224	841	6642
225	845	6635
226	848	6628
227	852	6622
228	855	6615
229	859	6611
230	862	6605
231	865	6598
232	869	6592
233	872	6586
234	875	6579
235	879	6574
236	882	6568
237	886	6562
238	889	6556
239	893	6550
240	896	6543
241	900	6538
242	903	6532
243	906	6526
244	910	6521
245	913	6515
246	917	6509
247	920	6504
248	924	6499
249	927	6493
250	931	6488
251	934	6482
252	938	6477
253	941	6474
254	945	6471
255	949	6465
256	952	6460
257	956	6455
258	959	6449
259	963	6448
260	967	6443
261	970	6440
262	974	6434
263	977	6428
264	981	6422
265	985	6421
266	989	6421
267	992	6416
268	996	6411
269	999	6406
270	1003	6400
271	1006	6395
272	1010	6390
273	1013	6385
274	1017	6380
275	1021	6380
276	1024	6375
277	1028	6370
278	1031	6365
279	1035	6360
280	1039	6357
281	1042	6353
282	1046	6350
283	1050	6345
284	1053	6340
285	1057	6336
286	1060	6332
287	1064	6328
288	1068	6323
289	1071	6318
290	1074	6312
291	1078	6306
292	1081	6301
293	1085	6298
294	1088	6293
295	1092	6287
296	1095	6282
297	1099	6279
298	1102	6274
299	1106	6270
300	1109	6264
301	1113	6260
302	1116	6255
303	1120	6250
304	1123	6245
305	1127	6241
306	1131	6237
307	1134	6232
308	1137	6227
309	1141	6222
310	1144	6217
311	1148	6211
312	1151	6206
313	1155	6203
314	1158	6199
315	1162	6195
316	1166	6191
317	1169	6186
318	1173	6182
319	1176	6177
320	1180	6173
321	1183	6169
322	1187	6167
323	1191	6164
324	1196	6164
325	1199	6160
326	1203	6157
327	1206	6152
328	1210	6148
329	1214	6145
330	1218	6142
331	1221	6138
332	1225	6135
333	1228	6130
334	1232	6125
335	1236	6122
336	1240	6119
337	1243	6115
338	1247	6110
339	1250	6107
340	1254	6102
341	1257	6097
342	1261	6092
343	1264	6087
344	1268	6083
345	1271	6078
346	1274	6073
347	1278	6068
348	1281	6064
349	1285	6059
350	1289	6055
351	1292	6052
352	1296	6047
353	1299	6042
354	1303	6038
355	1306	6033
356	1310	6029
357	1313	6025
358	1317	6020
359	1320	6015
360	1324	6011
361	1327	6007
362	1330	6002
363	1334	5998
364	1338	5994
365	1341	5990
366	1345	5985
367	1348	5981
368	1352	5977
369	1356	5975
370	1359	5971
371	1363	5966
372	1366	5962
373	1370	5958
374	1374	5954
375	1377	5950
376	1381	5945
377	1384	5941
378	1388	5938
379	1391	5933
380	1395	5928
381	1398	5924
382	1402	5919
383	1405	5915
384	1408	5910
385	1412	5905
386	1415	5901
387	1419	5896
388	1422	5893
389	1426	5890
390	1430	5886
391	1434	5885
392	1438	5881
393	1441	5876
394	1445	5872
395	1449	5869
396	1452	5865
397	1456	5860
398	1459	5856
399	1463	5852
400	1465	5843
401	1469	5839
402	1472	5835
403	1476	5831
