model,mean_rmse,std_rmse,stage
Tuned_CatBoost,0.12406159033566064,0.019562838529449574,tuned
CatBoost,0.12407284778821663,0.01971199564622544,baseline
Tuned_GradientBoosting,0.12457173478589637,0.021624148458869327,tuned
Lasso,0.12595156819451742,0.0221954582800069,baseline
Tuned_Lasso,0.12600234249592532,0.022212524072750588,tuned
ElasticNet,0.12604945434931497,0.022195015884477965,baseline
Tuned_ElasticNet,0.12617258527153907,0.02226907447449938,tuned
XGBoost,0.1265209485545675,0.019599332141353187,baseline
Tuned_XGBoost,0.12656526189727388,0.018915082587694983,tuned
GradientBoosting,0.1279044424160445,0.020388991997138717,baseline
Tuned_Ridge,0.1298962064991202,0.021892590777047673,tuned
Ridge,0.129965204183003,0.021933601293477024,baseline
Tuned_BayesianRidge,0.13012601232064835,0.021866245005448,tuned
BayesianRidge,0.13012601232064835,0.021866245005448,baseline
Tuned_LightGBM,0.1316310647883925,0.01750858386804685,tuned
LightGBM,0.13342794745125613,0.017762834880135654,baseline
RandomForest,0.14026206440290262,0.01723084225655992,baseline
